127.0.0.1 - - [22/Aug/2017:14:16:37 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:16:38 +0530] "GET /Angularjs/ HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:24:21 +0530] "GET /Angularjs/1 HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:30:04 +0530] "GET /Angularjs/1 HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:30:05 +0530] "GET /Angularjs/1 HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:30:06 +0530] "GET /Angularjs/1 HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:30:06 +0530] "GET /Angularjs/1 HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:30:07 +0530] "GET /Angularjs/1 HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:30:07 +0530] "GET /Angularjs/1 HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:34:35 +0530] "GET /Angularjs/ HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:37:19 +0530] "GET /Angularjs/ HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:38:32 +0530] "GET /Angularjs/ HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:40:14 +0530] "GET /Angularjs/ravi/app.js HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:40:34 +0530] "GET /Angularjs/ravi/app.js HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:41:01 +0530] "GET /Angularjs/1.html HTTP/1.1" 404 1026
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:44:57 +0530] "GET /Angularjs/ravi/app.js HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:45:01 +0530] "GET /Angularjs/ravi/app.js HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:45:59 +0530] "GET /Angularjs/sample.html HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:50:07 +0530] "GET /Angularjs/sample.html HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:50:25 +0530] "GET /Angularjs/ravi/app.js HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:50:35 +0530] "GET /Angularjs/ HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:51:03 +0530] "GET /Angularjs/sample.html HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:51:06 +0530] "GET /Angularjs/ HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:51:07 +0530] "GET /Angularjs/ HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:51:08 +0530] "GET /Angularjs/ HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:51:08 +0530] "GET /Angularjs/ HTTP/1.1" 404 1014
0:0:0:0:0:0:0:1 - - [22/Aug/2017:14:51:09 +0530] "GET /Angularjs/ HTTP/1.1" 404 1014
